Descriptio	freq	token
Quality descrip/conduct: potable	3219	4
Quality descrip/conduct: salty	399	4
Quality descrip/conduct: suitable	1038	4
Quartz	1610	2
QUARTZ	281	2
Quartz gravel	120	0
Quartz sand	121	0
"Quartz, broken"	195	0
Quartzite	957	2
QUARTZITE	460	2
Red	191	4
Red & brown clay	191	0
Red & brown top soil	153	0
Red & grey clay	371	0
Red and brown clay	119	0
Red and grey clay	551	0
RED AND GREY CLAY	141	0
Red and white clay	209	0
Red and yellow clay	111	0
Red basalt	421	2
Red brown clay	375	0
RED BROWN CLAY	153	0
Red brown clay moist	272	0
Red brown sandy clay	167	0
Red brown sandy clay moist	200	0
Red brown silty clay	467	0
Red brown silty clay moist	866	0
Red clay	7900	0
RED CLAY	1979	0
RED CLAY.	149	0
Red clay.	114	0
Red clays	149	0
Red gravel	146	0
Red grey clay	120	0
Red gritty clay	106	0
Red loam	273	0
Red mottled clay	185	0
Red rock	292	2
Red sand	566	0
Red sandstone	361	0
Red sandy clay	973	0
RED SANDY CLAY	579	0
Red sandy top soil	127	0
Red scoria	198	2
Red shale	322	2
Red silty clay	176	0
Red soil	738	0
Red subsoil	114	0
Red top soil	456	0
Red topsoil	450	0
Red volcanic soil	108	0
Reddish brown clay	153	0
Reddish clay	200	0
Redy brown clay	264	0
Redy brown silty clay	111	0
Redy brown top soil	106	0
Reef	114	0
Refer to drillers log numbered	872	4
River gravel	294	0
River sand	115	0
Rock	7185	2
ROCK	790	2
Rock black	155	2
Rock broken	135	0
Rock decomposed	276	0
Rock grey	940	2
Rock grey hard	493	1
Rock hard	1948	1
Rock hard water supply	151	0
Rock red	370	2
Rock rotten	226	0
Rock soft	231	0
Rock very hard	235	1
Rock water supply	568	0
Rock white	312	2
Rock white hard	116	1
Rock yellow	102	2
ROCKS	178	2
Rotten rock	261	0
Rubble	250	0
RUBBLE	216	0
Rubbly stone	123	0
Salamander	133	2
Sand	25852	0
SAND	174	0
Sand                               wb	125	0
Sand - clay	199	0
Sand - unconsolidated	1250	0
Sand - unconsolidated - coarse sand - 99%	685	0
Sand - unconsolidated - dominant - clayey sand	112	0
Sand - unconsolidated - fine sand - 60% ; clay - 40%	108	0
Sand - unconsolidated - fine sand - 60% ; silt - 35% ; mica - 05%	125	0
Sand - unconsolidated - fine sand - 99%	169	0
Sand - unconsolidated - medium sand - 60% ; clay - 40%	315	0
"Sand - unconsolidated - medium sand - 60%, clay - 40%"	117	0
"Sand - unconsolidated - medium sand - 70%, clay - 30%"	232	0
Sand - unconsolidated - medium sand - 80% ; clay - 20%	149	0
"Sand - unconsolidated - medium sand - 80%, clay - 20%"	452	0
"Sand - unconsolidated - medium sand - 90%, clay - 10%"	746	0
"Sand - unconsolidated - medium sand - 95%, clay - 05%"	426	0
"Sand - unconsolidated - medium sand - 95%, silt - 05%"	127	0
Sand - unconsolidated - medium sand - 99%	1906	0
"Sand - unconsolidated - sand - component: sand, clay."	965	0
"Sand - unconsolidated - sand - component: sand, silt."	101	0
Sand & clay	599	0
Sand & gravel	2017	0
Sand & gravel wb	130	0
Sand & sandstone	116	0
Sand & water	144	0
Sand (water)	166	0
Sand and clay	894	0
Sand and gravel	2595	0
Sand and gravel                    wb	183	0
Sand and limestone	110	0
Sand and sandstone	116	0
Sand and water	127	0
Sand brown	194	0
Sand clay	227	0
Sand clayey	203	0
Sand coarse	512	0
Sand coarse grained	218	0
Sand fine	625	0
"Sand fine - coarse, brown, medium sorting"	105	0
"Sand fine - coarse, light brown, medium sorting"	268	0
Sand fine grained	257	0
Sand fine to medium	100	0
Sand grey	137	0
Sand medium	826	0
Sand medium grained	554	0
Sand rock	225	0
Sand stone	300	0
"Sand very fine - fine, light brown, good sorting"	731	0
"Sand very fine - fine, light grey, good sorting"	103	0
"Sand very fine - medium, light brown, medium sorting"	127	0
Sand very fine grained	728	0
Sand water	2099	0
Sand wb	151	0
Sand wet	770	0
Sand white	101	0
Sand yellow	175	0
"Sand, brown"	133	0
"Sand, cemented"	105	0
"Sand, clay"	212	0
"Sand, clayey"	105	0
"Sand, coarse"	222	0
"Sand, fine"	314	0
"Sand, fine white"	105	0
"Sand, gravel"	161	0
"Sand, grey"	116	0
"Sand, red"	226	0
"Sand, sand"	370	0
"Sand, sand and gravel"	107	0
"Sand, white"	262	0
"Sand, yellow"	215	0
Sand.	1499	0
Sand/sandstone/grit	181	0
Sand/sandstone/grit - consolidated - argillite	117	0
Sand/sandstone/grit - consolidated - sandstone	217	0
Sand/sandstone/grit - unconsolidated - barren sand	192	0
Sand/sandstone/grit - unconsolidated - coarse sand	103	0
Sand/sandstone/grit - unconsolidated - coarse/sand	213	0
Sand/sandstone/grit - unconsolidated - fine medium sand	538	0
Sand/sandstone/grit - unconsolidated - fine medium sand/pebbles	107	0
Sand/sandstone/grit - unconsolidated - fine medium/clayey sand	212	0
Sand/sandstone/grit - unconsolidated - fine medium/sand	365	0
Sand/sandstone/grit - unconsolidated - fine sand	496	0
Sand/sandstone/grit - unconsolidated - fine/sand	284	0
Sand/sandstone/grit - unconsolidated - grey sand	112	0
Sand/sandstone/grit - unconsolidated - medium coarse/sand	222	0
Sand/sandstone/grit - unconsolidated - medium/sand	203	0
Sand/sandstone/grit - unconsolidated - mineralised sand	192	0
Sand/sandstone/grit - unconsolidated - sand	21719	0
Sand/sandstone/grit - unconsolidated - sand clay	130	0
"Sand/sandstone/grit - unconsolidated - sand: medium-coarse grained, orange, minor clay, hmo-t"	178	0
Sand/sandstone/grit - unconsolidated - sand+ clayey sand	200	0
Sand/sandstone/grit - unconsolidated - sandy clay+ clayey sand	114	0
Sand/sandstone/grit - unconsolidated - sandy clay+ sand	292	0
Sand/sandstone/grit - unconsolidated - very coarse/sand	122	0
Sand/sandstone/grit - unconsolidated - very fine/sand	461	0
Sand/sandstone/grit - unconsolidated - white sand	175	0
Sand/sandstone/grit - unconsolidated - yellow sand	303	0
Sanded clays	123	0
Sandrock	542	0
Sands	454	0
Sands wet	226	0
Sandstone	23904	0
SANDSTONE	178	0
Sandstone  * water	164	0
Sandstone - water	114	0
Sandstone - water bearing	260	0
Sandstone - water struck	171	0
Sandstone & sand	175	0
Sandstone & shale	202	0
Sandstone and clay	136	0
Sandstone and sand	160	0
Sandstone and shale	255	0
Sandstone and slate	148	0
Sandstone grey	173	0
Sandstone hard	123	0
Sandstone water	153	0
Sandstone yellow	178	0
"Sandstone, brown"	234	0
"Sandstone, calcareous"	189	0
"Sandstone, grey"	209	0
"Sandstone, hard"	354	0
"Sandstone, red"	233	0
"Sandstone, sandstone"	337	0
"Sandstone, soft"	196	0
"Sandstone, white"	496	0
"Sandstone, white sandstone"	129	0
"Sandstone, yellow"	190	0
Sandstone.	261	0
Sandy	216	0
Sandy brown clay	754	0
Sandy brown shale	102	0
Sandy clay	16198	0
SANDY CLAY	4097	0
Sandy clay and gravel	122	0
Sandy clay.	202	0
SANDY CLAY.	163	0
Sandy clays	337	0
SANDY CLAYS	251	0
Sandy drift	244	0
Sandy gravel	426	0
Sandy grey clay	640	0
Sandy grey shale	403	0
Sandy ligneous clay	148	0
SANDY LIMESTONE	324	0
Sandy loam	1896	0
Sandy marl	109	0
Sandy mottled clay	180	0
Sandy mottled clays	128	0
Sandy mudstone	1136	0
Sandy shale	3169	0
Sandy silt	1342	0
SANDY SILTY CLAY	139	0
Sandy silty clay	115	0
Sandy soil	798	0
Sandy subsoil	163	0
Sandy top soil	213	0
Sandy topsoil	339	0
Sandy white clay	159	0
Sandy yellow clay	258	0
SCHIST	512	2
Schist	410	2
Schist - consolidated - phyllite	120	1
Schist - consolidated - quartz mica schist	275	1
Schist - consolidated - schist	227	1
Schist - weathered - oxidised quartz mica schist	376	0
Scoria	773	2
Sediment (undifferentiated) - unconsolidated - topsoil	159	0
Serpentine	124	2
Shale	30880	2
SHALE	557	2
Shale - brown	116	2
Shale & coal	102	2
Shale & sandstone	191	0
Shale and sandstone	235	0
Shale bands	163	2
Shale black	1432	2
Shale black hard	109	1
Shale black water supply	196	0
Shale broken	117	0
Shale brown	182	2
Shale clay	387	0
Shale coal	103	2
Shale dark	424	2
Shale dark brown	122	2
Shale dark grey	598	2
Shale decomposed	270	0
Shale grey	6900	2
Shale grey hard	533	1
Shale grey hard bands	198	1
Shale grey puggy	133	0
Shale grey sandy	1634	0
Shale grey sandy water supply	117	0
Shale grey soft	100	0
Shale grey sticky	731	2
Shale grey waddy	123	2
Shale grey water supply	326	0
Shale hard	1375	1
Shale hard bands	212	1
Shale hard sandy	197	0
Shale hard water supply	235	0
Shale light	223	2
Shale light brown	148	2
Shale light grey	393	2
Shale light grey sandy	161	0
Shale nominal	106	2
Shale puggy	390	0
Shale red	336	2
Shale rock	216	2
Shale sandstone	255	0
Shale sandy	2913	0
Shale sandy water supply	258	0
Shale seams	101	2
Shale soft	719	0
Shale soft water supply	182	0
Shale sticky	975	2
Shale waddy	126	2
Shale water bearing	157	0
Shale water supply	2259	0
Shale weathered	149	0
Shale white	152	2
Shale white sandy	220	0
Shale yellow	592	2
"Shale, black"	1123	2
"Shale, blue"	460	2
"Shale, brown"	995	2
"Shale, carbonaceous"	105	2
"Shale, dark grey"	122	2
"Shale, grey"	1513	2
"Shale, hard"	246	1
"Shale, light grey"	103	2
"Shale, red"	546	2
"Shale, sandy"	743	0
"Shale, soft"	243	0
"Shale, weathered"	301	0
"Shale, weathered brown"	105	0
"Shale, yellow"	327	2
Shale.	158	2
Shale/brown	105	2
Shales	240	2
Shaley sandstone	418	0
Shell	110	0
SILCRETE	205	0
Silcrete	119	0
Silt	3153	0
SILT	194	0
Silt - clay	375	0
Silt - fine sand	264	0
"Silt - sand fine, brown, good sorting"	133	0
"Silt - sand fine, light brown, good sorting"	628	0
"Silt - sand fine, light grey, good sorting"	184	0
"Silt - sand very fine, brown, good sorting"	159	0
"Silt - sand very fine, light brown, good sorting"	647	0
"Silt - sand very fine, light grey, good sorting"	224	0
Silt - unconsolidated - silt - 60% ; fine sand - 35% ; mica - 05%	320	0
Silt - unconsolidated - silt - 80% ; fine sand - 15% ; mica - 05%	479	0
Silt - unconsolidated - silt - 99%	184	0
"Silt - unconsolidated - silt - component: silt, sand."	100	0
Silt - very fine sand - fine	150	0
Silt clay	104	0
Silt grey	103	0
Silt sandy	138	0
Silt/siltstone - consolidated - siltstone	259	1
Silt/siltstone - consolidated - siltstone (argillite)	134	1
Silt/siltstone - consolidated - siltstone/argillite	130	1
Silt/siltstone - unconsolidated - silt	126	0
"Silt/siltstone - unconsolidated - silt - sand fine, yellow, good sorting"	122	0
Silt/siltstone - unconsolidated - silt sand	154	0
Siltstone	4560	2
SILTSTONE	243	2
Siltstone grey	132	2
"Siltstone, brown"	379	2
"Siltstone, grey"	478	2
"Siltstone, red"	473	2
"Siltstone, siltstone"	151	2
"Siltstone, weathered"	152	0
"Siltstone, yellow"	195	2
Silty brown clay	300	0
Silty clay	6770	0
SILTY CLAY	666	0
Silty clay moist	2126	0
Silty clay moist to damp	169	0
Silty clay wet	3850	0
Silty clays	150	0
Silty fine sand	104	0
Silty grey clay	204	0
Silty mudstone	148	2
Silty sand	2901	0
Silty sand wet	132	0
Silty sandy clay	186	0
Silurian	138	2
Slate	2736	2
SLATE	687	2
Slate & sandstone	251	0
Slate and sandstone	392	0
Slate black	119	2
Slate decomposed	171	0
Slate grey	314	2
Slate hard	223	1
Slate water supply	596	0
Slate yellow	122	2
"Slate, black"	161	2
"SLATE, QUARTZ"	118	2
Slippery back	573	2
Slots	140	4
Soapstone	168	2
Soft basalt	881	0
Soft blue basalt	141	0
Soft brown & grey clay	209	0
Soft brown basalt	377	0
Soft brown clay	432	0
Soft brown coal	108	0
SOFT BROWN SHALE	167	0
Soft brown shale	131	0
Soft clay	318	0
SOFT CLAY	165	0
Soft granite	137	0
Soft grey clay	413	0
Soft grey sandstone	151	0
SOFT GREY SCHIST	130	0
Soft grey shale	153	0
SOFT GREY SLATE	141	0
Soft limestone	652	0
SOFT LIMESTONE	547	0
Soft limestone.	166	0
Soft mudstone	213	0
Soft red basalt	133	0
Soft rock	252	0
SOFT ROCK	138	0
Soft sandstone	1186	0
Soft sandy clay	366	0
SOFT SANDY CLAY	102	0
Soft shale	489	0
SOFT SHALE	142	0
Soft silty clay	104	0
SOFT SLATE	138	0
Soft slate	125	0
Soft white clay	100	0
SOFT WHITE LIMESTONE	121	0
Soft yellow clay	116	0
Soft yellow sandstone	334	0
SOFTER	187	2
SOFTER LAYERS	141	2
SOFTER SLATE	107	2
Soil	6382	0
Soil & clay	368	0
Soil and clay	470	0
"Soil, black"	540	0
"Soil, red"	204	0
Solid basalt	318	1
Solid granite	123	1
Some clay	137	0
Splint	132	2
Standpipe shaft	162	4
Sticky brown clay	140	0
Sticky clay	229	0
STICKY CLAY	102	0
Sticky grey clay	133	0
Sticky grey shale	114	2
Stiff brown clay	266	0
STIFF BROWN CLAY	139	0
STIFF CLAY	325	0
Stiff clay	275	0
Stiff grey clay	237	0
STIFF GREY CLAY	120	0
STIFF RED CLAY	145	0
STIFF YELLOW CLAY	169	0
Stone	1326	2
STONE	195	2
Stones	104	2
Stoney clay	213	0
Strata not recorded	177	4
Sub soil	397	0
Subsoil	1043	0
Surface	134	0
Surface clay	854	0
Surface loam	330	0
Surface sand	308	0
Surface soil	4721	0
Surface soil and clay	349	0
Surficial soil	149	0
Tight clay	126	0
Top	216	0
Top grey soil	174	0
Top red volcanic soil	266	0
Top sandy loam	442	0
Top soil	15495	0
Top soil & clay	984	0
Top soil and clay	475	0
Top soil clay	103	0
Top soil driller j dolley	129	0
Top soil.	363	0
Top volcanic soil	266	0
Topsoil	21211	0
TOPSOIL	393	0
Topsoil & clay	718	0
Topsoil and clay	606	0
Topsoil clay	106	0
Topsoil sandy	138	0
"Topsoil, black"	172	0
"Topsoil, brown"	260	0
"Topsoil, clay"	206	0
"Topsoil, laterite"	381	0
"Topsoil, red"	812	0
"Topsoil, red topsoil"	175	0
"Topsoil, sandy"	154	0
"Topsoil, topsoil"	353	0
Tough clay	115	0
Tough grey clay	165	0
Tufa	294	2
Tuff	181	2
Unknown	557	4
Unknown lithology - condition unknown	659	4
Variegated clay	113	0
Very fine sand	162	0
Very fine sand - coarse	254	0
Very fine sand - fine	955	0
Very fine sand - medium	338	0
Very fine sand - very coarse	132	0
Very fine/sand	109	0
Very hard basalt	379	1
Very hard blue basalt	148	1
Very hard limestone	145	1
Very hard rock	129	1
Very hard sandstone	231	0
Very sandy clay	117	0
Vesicular basalt	147	2
Volcanic ash	198	0
Volcanic clay	763	0
Volcanic clays	178	0
Volcanic rock	217	2
Volcanic top soil	184	0
Volcanic topsoil	162	0
W.b. basalt	246	2
Wash	428	4
Water	206	0
Water bearing	163	0
Water bearing sand	108	0
Water bearing sandstone	214	0
Water cut	148	0
Water sand	268	0
Water sandstone	121	0
Water strata	119	0
Water supply	949	0
Weathered basalt	3321	0
Weathered granite	1303	0
WEATHERED GRANITE	225	0
WEATHERED MICA SCHIST	105	0
Weathered rock	287	0
Weathered sandstone	467	0
WEATHERED SCHIST	108	0
Weathered shale	306	0
Wet brown silty clay	100	0
Wet sand	128	0
White clay	3787	0
WHITE CLAY	891	0
White clay.	124	0
White fine sand	115	0
WHITE LIMESTONE	850	2
White limestone	439	2
WHITE MARL	206	2
White mottled clay	116	0
White pipe clay	114	0
WHITE QUARTZITE	158	2
White rock	313	2
White sand	1983	0
White sand.	577	0
White sands	181	0
White sandstone	1145	0
White sandy clay	1410	0
WHITE SANDY CLAY	541	0
White sandy clay.	128	0
White sandy shale	127	0
White shale	140	2
White silty clay	115	0
Wood	197	0
Wthrd basalt	183	2
Yellow & blue clay	127	0
Yellow & grey clay	425	0
Yellow & grey sandy clay	111	0
Yellow and blue clay	170	0
Yellow and grey clay	417	0
Yellow and grey sandy clay	144	0
Yellow and white clay	145	0
Yellow brown clay	322	0
Yellow brown clay grey inclu moist	170	0
Yellow brown sandy clay	101	0
Yellow brown silty clay	127	0
Yellow brown silty clay dry	147	0
Yellow brown silty clay grey inclu moist	224	0
Yellow brown silty clay moist	424	0
Yellow clay	9384	0
YELLOW CLAY	1698	0
Yellow clay and gravel	139	0
Yellow clay and limestone	117	0
Yellow clay.	158	0
YELLOW CLAY.	154	0
Yellow clayey sand	313	0
Yellow clays	142	0
Yellow gravelly clay	130	0
Yellow grey clay	232	0
Yellow gritty clay	147	0
YELLOW LIMESTONE	586	2
Yellow limestone	440	2
Yellow mottled clay	584	0
Yellow mottled sandy clay	169	0
Yellow mudstone	1023	2
Yellow sand	3660	0
Yellow sand.	1031	0
Yellow sandstone	2324	0
Yellow sandy clay	2283	0
YELLOW SANDY CLAY	1356	0
YELLOW SANDY CLAY.	121	0
YELLOW SANDY LIMESTONE	113	0
Yellow shale	934	2
YELLOW SHALE	454	2
Yellow silty clay	244	0
YELLOW SLATE	206	2
