Descriptio	freq	token
Blue sandy clay	167	0
Blue sandy shale	264	0
Blue shale	3880	2
BLUE SHALE	207	2
BLUE SLATE	706	2
Blue slate	125	2
Blue stone	397	2
Bluestone	2188	2
Boulders	625	0
Br gry zc moist	285	0
Br zc dry	166	4
Br zc moist	350	0
Broken basalt	1922	0
Broken granite	106	0
Broken limestone	137	0
BROKEN QUARTZITE	141	0
Broken rock	395	0
BROKEN ROCK	245	0
Broken sandstone	219	0
Broken shale	136	0
BROKEN SLATE	207	0
Brown	1324	4
Brown & grey clay	1210	0
Brown & grey clay moist	613	0
Brown & grey sandy clay	286	0
Brown & grey shale	184	2
Brown & grey silty clay	472	0
Brown & grey silty sandy clay	168	0
Brown and grey clay	1231	0
BROWN AND GREY CLAY	107	0
Brown and grey clay moist	285	0
Brown and grey clays	166	0
Brown and grey sandy clay	237	0
Brown and grey shale	154	2
Brown and grey silty clay	295	0
Brown and white clay	128	0
Brown basalt	1040	2
Brown clay	21314	0
BROWN CLAY	2289	0
Brown clay & basalt	104	0
Brown clay & gravel	133	0
Brown clay & limestone	151	0
Brown clay & sand	105	0
Brown clay and gravel	146	0
Brown clay dry	176	0
Brown clay moist	3874	0
Brown clay wet	116	0
Brown clay.	379	0
BROWN CLAY.	118	0
Brown clayey loam	142	0
Brown clayey sand	402	0
Brown clayey sand wet	132	0
Brown clayey silt	177	0
Brown clayey silt moist	109	0
Brown clays	271	0
Brown coal	3441	2
Brown coarse sand	150	0
Brown fine clayey sand	270	0
Brown fine sand	419	0
Brown fine sandy clay	380	0
Brown gravel	100	0
Brown gravelly clay	203	0
Brown grey clay	1612	0
Brown grey sandy clay	146	0
Brown grey silty clay	570	0
Brown grey silty clay moist	119	0
Brown gritty clay	325	0
Brown gritty clay moist	307	0
Brown ligneous clay	131	0
Brown loam	254	0
Brown med coarse sand	158	0
Brown med fine sand	144	0
Brown medium coarse sand	149	0
Brown medium fine sand	139	0
Brown mottled clay	147	0
Brown mudstone	558	2
Brown rock	381	2
Brown sand	3181	0
Brown sand & gravel	129	0
Brown sand (f-c)	153	0
Brown sand (well graded)	220	0
Brown sand and gravel	167	0
Brown sand.	205	0
Brown sands	133	0
Brown sandstone	946	0
Brown sandy clay	4529	0
BROWN SANDY CLAY	573	0
Brown sandy clay moist	666	0
Brown sandy clay wet	587	0
Brown sandy clay.	121	0
